Time,Variable,AssetId,Value
2019-11-25 13:08:42.3370000,power,abc123xyz,-427.1140136
2019-11-25 13:08:43.9850000,power,abc123xyz,-428.4070129
2019-11-25 13:08:45.5310000,power,abc123xyz,-426.7569885
2019-11-25 13:08:47.0170000,power,abc123xyz,-424.7059936
2019-11-25 13:08:48.6430000,power,abc123xyz,-425.9100036
2019-11-25 13:08:53.4080000,power,abc123xyz,-427.2030029
2019-11-25 13:08:55.1360000,power,abc123xyz,-423.9920043
2019-11-25 13:08:58.4030000,power,abc123xyz,-420.6929931
2019-11-25 13:08:59.8030000,power,abc123xyz,-422.520996
2019-11-25 13:40:00.9850000,power,abc123xyz,-438.7070007
2019-11-25 13:40:02.3020000,power,abc123xyz,-436.7890014
2019-11-25 13:40:04.5160000,power,abc123xyz,-439.1080017
2019-11-25 13:40:05.7740000,power,abc123xyz,-438.0820007
2019-11-25 13:40:08.8690000,power,abc123xyz,-437.0119934
2019-11-25 13:40:10.4920000,power,abc123xyz,-435.7640075
2019-11-25 13:40:15.1360000,power,abc123xyz,-437.3240051
2019-11-25 12:37:05.7520000,power,abc123xyz,-444.2359924
2019-11-25 12:37:07.1270000,power,abc123xyz,-441.6489868
2019-11-25 12:37:11.6780000,power,abc123xyz,-442.6749877
2019-11-25 12:37:12.8340000,power,abc123xyz,-438.2609863
2019-11-25 12:37:16.6000000,power,abc123xyz,-433.57901
2019-11-25 12:37:18.1230000,power,abc123xyz,-434.6040039
2019-11-25 12:37:20.4890000,power,abc123xyz,-431.5280151
2019-11-25 12:37:27.3030000,power,abc123xyz,-430.2349853
2019-11-25 12:37:32.9300000,power,abc123xyz,-428.9859924
2019-11-25 12:37:39.1360000,power,abc123xyz,-430.0559997
2019-11-25 12:37:41.7970000,power,abc123xyz,-431.7059936
2019-11-25 12:37:43.8130000,power,abc123xyz,-429.4769897
2019-11-25 12:37:57.0160000,power,abc123xyz,-430.8590087
2019-11-25 12:37:58.2290000,power,abc123xyz,-428.7189941
2019-11-25 12:38:03.5490000,power,abc123xyz,-431.5719909
2019-11-25 12:38:08.0730000,power,abc123xyz,-434.2030029
2019-11-25 12:38:09.4450000,power,abc123xyz,-432.7760009
2019-11-25 12:38:10.5420000,power,abc123xyz,-431.4830017
2019-11-25 12:38:11.7890000,power,abc123xyz,-428.316986
2019-11-25 12:38:14.4260000,power,abc123xyz,-429.743988
2019-11-25 13:18:09.9640000,power,abc123xyz,-436.0759887
2019-11-25 13:18:11.0980000,power,abc123xyz,-434.2919921
2019-11-25 13:18:12.9750000,power,abc123xyz,-435.4070129
2019-11-25 13:18:25.3190000,power,abc123xyz,-438.7070007
2019-11-25 13:18:28.4620000,power,abc123xyz,-435.0060119
2019-11-25 13:18:40.4050000,power,abc123xyz,-437.546997
2019-11-25 13:18:45.8360000,power,abc123xyz,-439.2420043
2019-11-25 13:18:47.9400000,power,abc123xyz,-437.769989
2019-11-25 13:18:49.5790000,power,abc123xyz,-439.5090026
2019-11-25 13:18:52.0690000,power,abc123xyz,-438.2160034
2019-11-25 13:18:55.4500000,power,abc123xyz,-440.3120117
2019-11-25 13:18:57.3650000,power,abc123xyz,-437.6809997
2019-11-25 13:19:00.0000000,power,abc123xyz,-435.941986
2019-11-25 13:19:01.7740000,power,abc123xyz,-438.7070007
2019-11-25 13:19:03.7780000,power,abc123xyz,-436.4330139
2019-11-25 13:19:07.8430000,power,abc123xyz,-438.3500061
2019-11-25 13:19:08.9220000,power,abc123xyz,-435.941986
2019-11-25 13:19:10.2510000,power,abc123xyz,-440.4010009
2019-11-25 13:19:14.3350000,power,abc123xyz,-442.4970092
2019-11-25 13:19:15.4700000,power,abc123xyz,-440.3120117
2019-11-25 13:19:25.8720000,power,abc123xyz,-436.2099914
2019-11-25 13:19:38.5450000,power,abc123xyz,-431.8850097
2019-11-25 13:19:40.1110000,power,abc123xyz,-430.368988
2019-11-25 13:19:44.8640000,power,abc123xyz,-429.2539978
2019-11-25 13:20:04.4620000,power,abc123xyz,-427.2919921
2019-11-25 13:20:11.9630000,power,abc123xyz,-428.4509887
2019-11-25 13:20:25.6180000,power,abc123xyz,-425.7760009
2019-11-25 13:20:27.8750000,power,abc123xyz,-423.0559997
2019-11-25 13:20:30.1240000,power,abc123xyz,-424.6610107
2019-11-25 13:20:31.2670000,power,abc123xyz,-422.6990051
2019-11-25 13:20:38.0800000,power,abc123xyz,-425.1960144
2019-11-25 13:20:39.4140000,power,abc123xyz,-431.0820007
2019-11-25 13:20:49.1450000,power,abc123xyz,-425.0629882
2019-11-25 13:20:58.7670000,power,abc123xyz,-427.3370056
2019-11-25 13:21:01.2680000,power,abc123xyz,-429.9670104
2019-11-25 13:21:09.6340000,power,abc123xyz,-433.4010009
2019-11-25 13:21:13.4610000,power,abc123xyz,-428.2279968
2019-11-25 13:21:18.3330000,power,abc123xyz,-429.5660095
2019-11-25 13:21:29.5660000,power,abc123xyz,-431.7059936
2019-11-25 13:21:33.0590000,power,abc123xyz,-432.8210144
2019-11-25 13:21:40.2900000,power,abc123xyz,-436.0310058
2019-11-25 13:21:41.7380000,power,abc123xyz,-432.9549865
2019-11-25 13:22:07.0580000,power,abc123xyz,-431.7059936
2019-11-25 13:22:09.0900000,power,abc123xyz,-433.57901
2019-11-25 13:22:12.9470000,power,abc123xyz,-431.8850097
2019-11-25 13:22:19.2050000,power,abc123xyz,-428.316986
2019-11-25 13:22:29.7290000,power,abc123xyz,-426.9800109
2019-11-25 13:22:32.0210000,power,abc123xyz,-429.0310058
2019-11-25 13:22:47.5320000,power,abc123xyz,-430.1900024
2019-11-25 13:23:07.6660000,power,abc123xyz,-432.6430053
2019-11-25 13:23:08.8700000,power,abc123xyz,-430.1900024
2019-11-25 13:23:10.2870000,power,abc123xyz,-433.4899902
2019-11-25 13:23:13.0440000,power,abc123xyz,-431.973999
2019-11-25 13:23:15.1910000,power,abc123xyz,-427.6040039
2019-11-25 13:23:19.1630000,power,abc123xyz,-430.4129943
2019-11-25 13:23:20.5710000,power,abc123xyz,-427.4700012
2019-11-25 13:23:25.7830000,power,abc123xyz,-431.3940124
2019-11-25 13:23:27.9050000,power,abc123xyz,-430.145996
2019-11-25 13:23:33.4020000,power,abc123xyz,-432.0629882
2019-11-25 13:23:36.5050000,power,abc123xyz,-435.6749877
2019-11-25 13:40:16.3190000,power,abc123xyz,-440.3120117
2019-11-25 13:40:18.2480000,power,abc123xyz,-442.7640075
2019-11-25 13:40:20.0730000,power,abc123xyz,-441.3370056
2019-11-25 13:40:22.3700000,power,abc123xyz,-440.2669982
2019-11-25 13:40:38.8550000,power,abc123xyz,-436.2099914
2019-11-25 13:40:40.5730000,power,abc123xyz,-447.4460144
2019-11-25 13:40:41.6360000,power,abc123xyz,-445.2170104
2019-11-25 13:40:44.4780000,power,abc123xyz,-446.4649963
2019-11-25 13:40:45.5640000,power,abc123xyz,-445.2609863
2019-11-25 13:40:47.6430000,power,abc123xyz,-433.8020019
2019-11-25 13:40:50.7120000,power,abc123xyz,-435.1400146
2019-11-25 13:40:55.1290000,power,abc123xyz,-426.8460083
2019-11-25 13:40:57.8300000,power,abc123xyz,-430.1900024
2019-11-25 13:40:58.8910000,power,abc123xyz,-440.7130126
2019-11-25 13:41:00.2910000,power,abc123xyz,-436.7000122
